,Job Title,Company Name,Salary From,Salary To,Region,Full Address,Apply URL,Vacancy URL,Publication Time,Archived,Requirements,Responsibilities
13,Педагог-воспитатель на ПОЛДНЯ в группу Мини-Сад,A.K.N.Power,150000.0,200000.0,Астана,"Астана, проспект Тауелсиздик, 6/3",https://hh.ru/applicant/vacancy_response?vacancyId=108201462,https://hh.ru/vacancy/108201462,2024-10-04T17:43:45+0300,False,"Увлеченность и ответственность. Педагогическое образование (наличие дополнительного образования приветствуется). Желателен опыт работы в частной сфере: детский клуб, частная школа, частный...","Работа по готовым разработанным конспектам, Подготовка к занятию, наведение порядка после занятия, Общение с родителями, Участие в жизни клуба. "
14,Менеджер по продажам минеральных удобрений,BayDala,310000.0,1169500.0,Костанай,,https://hh.ru/applicant/vacancy_response?vacancyId=109432320,https://hh.ru/vacancy/109432320,2024-10-28T09:42:45+0300,False,Имеете опыт: не менее 1 года в сфере продаж в области сельского хозяйства. Знаете языки: свободно говорите на казахском и...,Развитие клиентской базы: активный поиск и привлечение новых клиентов. Работа в СРМ системе - Битрикс. Выезд к клиенту или работа с...
15,Администратор,DANCING QUEEN,150000.0,,Астана,"Астана, проспект Мангилик Ел, 41/5",https://hh.ru/applicant/vacancy_response?vacancyId=108217926,https://hh.ru/vacancy/108217926,2024-10-06T14:28:53+0300,False,"С высокой энергией, скоростью и позитивом. Легко общается с людьми и умеет подружиться. Быстро учится и быстро думает. ","Встреча клиентов. Продажи абонементов. Следить за порядком в студии. Контроль за работой команды: <highlighttext>педагогов</highlighttext>, тех персонала."
16,Учитель английского языка,Шагирова Е.С,180000.0,220000.0,Астана,,https://hh.ru/applicant/vacancy_response?vacancyId=109049226,https://hh.ru/vacancy/109049226,2024-10-22T11:32:22+0300,False,Диплом с 2020 по 2024 (не иметь пенсионки по специальности ). Не иметь ип. Требования: Знание английского и казахского языка.,
17,Студенческий координатор,InterPress - International House,200000.0,500000.0,Алматы,,https://hh.ru/applicant/vacancy_response?vacancyId=108587606,https://hh.ru/vacancy/108587606,2024-10-14T09:11:42+0300,False,Английский язык не ниже Pre-Intermediate. Отличное знание казахского языка. Наличие опыта работы в сфере продаж. Уверенное знание компьютера (Internet...,"Помощь клиенту в выборе программы обучения. Формирование групп. Оформление клиента на обучение, текущая работа с клиентами. Взаимодействие с <highlighttext>преподавателями</highlighttext>."
18,Ассистент в начальную школу со знанием английского языка,Smart Imperium,200000.0,,Алматы,"Алматы, 6-й переулок, 24",https://hh.ru/applicant/vacancy_response?vacancyId=109463923,https://hh.ru/vacancy/109463923,2024-10-28T13:35:22+0300,False,Уровень английского Upper-Intermediate и выше. Педагогическое образование. Любовь к детям. Порядочность. Доброжелательность.,
19,Преподаватель английского языка,ELC Astana,100000.0,,Астана,"Астана, переулок Иманова, 19",https://hh.ru/applicant/vacancy_response?vacancyId=109377735,https://hh.ru/vacancy/109377735,2024-10-27T09:32:29+0300,False,"Английский язык от B2 и выше, не беспокоить у кого ниже или не твердый Upper-intermediate. Коммуникабельность. ",Обучать Английскому языку по методике центра. Работать со школьниками так и со взрослыми.
20,Администратор школы танцев/Менеджер по работе с клиентами,Ибраева Г.А.,100000.0,150000.0,Астана,"Нур-Султан (Астана), улица Кенесары, 52",https://hh.ru/applicant/vacancy_response?vacancyId=109160118,https://hh.ru/vacancy/109160118,2024-10-23T17:57:42+0300,False,Высшее образование. -Грамотная речь. -Умение работать в режиме многозадачности и четко расставлять приоритеты. -Способность находить общий язык и с взрослыми...,контроль оплат за абонементы. -составление штатного расписания и осуществление замен <highlighttext>преподавателей</highlighttext>. -помощь в организации внутришкольных мероприятий. -выполнение административных поручений. -
21,Педагог ассистент русскоговорящий,ГКП на ПХВ Школа-лицей №79 акимата города Астаны,115000.0,125000.0,Астана,"Астана, улица Максута Нарикбаева, 3",https://hh.ru/applicant/vacancy_response?vacancyId=109325588,https://hh.ru/vacancy/109325588,2024-10-26T09:17:54+0300,False,Требования: Высшее педагогическое образование. Наличие НКТ. Грамотная речь и письмо на русском языке. Умение работать с детьми.,"Работа под кураторством по готовой программе (ABA терапия, школьники с РАС, Аутизмом). Ведение документации по ученикам. Сопровождение на уроки. "
22,Администратор,Dirxen,250000.0,500000.0,Астана,"Астана, улица Динмухамеда Кунаева, 14/1",https://hh.ru/applicant/vacancy_response?vacancyId=108793108,https://hh.ru/vacancy/108793108,2024-10-17T12:23:06+0300,False,Мы всему научим - от вас нужно только желание развиваться! Экологичный продукт - качественное и эффективное обучение для взрослых и подростков от...,"...со стороны руководства. Консультировать по видам абонементов. Поддерживать позитивную, веселую атмосферу в школе. Составлять расписание уроков для учеников и <highlighttext>преподавателей</highlighttext>."
23,Администратор (Менеджер по работе с клиентами),Damira Bal Project,60000.0,150000.0,Астана,,https://hh.ru/applicant/vacancy_response?vacancyId=107891028,https://hh.ru/vacancy/107891028,2024-09-29T14:39:30+0300,False,"С высокой энергией, скоростью и позитивом. Легко общается с людьми и умеет подружиться. Быстро учится и быстро думает. ","Встреча клиентов. Продажи абонементов. Следить за порядком в студии. Контроль за работой команды: <highlighttext>педагогов</highlighttext>, тех персонала."
24,Педагог английского языка,TOP KIDS ASTANA,100000.0,150000.0,Астана,"Астана, улица Абубакира Тыныбаева, 7",https://hh.ru/applicant/vacancy_response?vacancyId=109167001,https://hh.ru/vacancy/109167001,2024-10-23T19:23:39+0300,False,"Образование: педагогическое образование, желательно профильное (английский язык, филология, лингвистика). Опыт работы: опыт преподавания английского языка детям в аналогичных образовательных учреждениях. ","Проведение занятий: подготовка и проведение уроков английского языка для детей разных возрастных групп, включая разработку программ обучения и использование интерактивных..."
25,Менеджер,Dirxen,200000.0,500000.0,Астана,"Астана, микрорайон Шубар, улица Митченко, 46",https://hh.ru/applicant/vacancy_response?vacancyId=108912511,https://hh.ru/vacancy/108912511,2024-10-26T19:46:15+0300,False,Мы всему научим - от вас нужно только желание развиваться!,"...тренинги по продажам. Консультировать по видам абонементов. Поддерживать позитивную, веселую атмосферу в школе. Составлять расписание уроков для учеников и <highlighttext>преподавателей</highlighttext>."
